"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent"
"13159","5,330","5,184","5,277","78.1","1.6%","$75,741","$182,025","43.7","4,918","96","48","50","15","95.7%","39.9%","17.6%","53.2%","46.8%"
"13164","2,438","2,338","1,759","10.7","7.1%","$78,171","$173,146","38.6","2,206","53","27","16","14","91.1%","32.3%","18.3%","49.8%","50.2%"
"13201","","","","","","","","","","","","","","","","","",""
"13202","5,923","5,438","5,434","1.0","17.6%","$15,407","$93,121","27.7","1,489","463","2,912","302","52","78.0%","35.2%","16.7%","54.2%","45.8%"
"13203","16,801","16,029","15,435","1.7","18.6%","$34,352","$120,314","35.6","9,192","1,282","3,212","1,314","191","77.9%","24.7%","11.5%","47.4%","52.6%"
"13204","19,782","19,931","20,826","4.4","5.1%","$30,210","$77,583","31.7","10,162","3,662","4,643","109","271","78.1%","21.3%","7.1%","48.4%","51.6%"
"13205","18,640","19,201","20,592","3.4","7.0%","$30,773","$86,240","36.8","6,399","1,055","10,365","485","225","78.0%","16.0%","6.7%","46.3%","53.7%"
"13206","16,373","16,443","16,562","3.9","6.7%","$39,534","$100,558","36.9","12,292","868","2,124","286","155","87.7%","25.4%","9.7%","46.7%","53.3%"
"13207","13,341","13,897","14,890","3.1","4.3%","$50,663","$95,674","35.1","6,596","1,110","5,276","90","156","87.1%","29.9%","13.6%","46.3%","53.7%"
"13208","22,876","22,854","21,440","4.2","23.2%","$36,344","$94,897","34.2","14,016","1,437","3,621","2,416","254","73.6%","18.7%","6.8%","47.2%","52.8%"
"13209","13,282","13,243","13,774","12.7","6.5%","$54,949","$126,973","44.0","12,202","425","156","90","119","92.0%","24.4%","9.2%","48.1%","51.9%"
"13210","28,221","27,606","27,352","4.6","13.3%","$27,204","$138,073","21.5","16,509","1,814","5,327","2,913","125","90.2%","51.2%","25.5%","45.9%","54.1%"
"13211","6,710","6,517","6,425","4.7","3.6%","$48,292","$93,010","37.1","5,738","230","277","47","53","90.6%","12.9%","3.9%","48.6%","51.4%"
"13212","20,941","20,356","20,878","10.6","3.0%","$56,802","$128,860","42.2","18,737","437","467","247","102","92.3%","25.8%","8.7%","47.5%","52.5%"
"13214","9,491","8,793","8,764","3.7","13.9%","$75,710","$178,140","33.6","6,887","365","993","314","20","95.4%","56.4%","32.7%","49.4%","50.6%"
"13215","15,763","15,245","14,461","33.9","5.0%","$87,142","$219,873","44.6","13,959","305","492","201","90","95.2%","47.9%","20.0%","47.2%","52.8%"
"13217","","","","","","","","","","","","","","","","","",""
"13218","","","","","","","","","","","","","","","","","",""
"13219","15,142","15,363","15,700","5.0","5.5%","$59,786","$142,068","45.7","14,386","297","267","149","63","95.7%","36.1%","17.4%","46.9%","53.1%"
"13220","","","","","","","","","","","","","","","","","",""
"13221","","","","","","","","","","","","","","","","","",""
"13224","8,682","8,891","9,052","3.0","9.6%","$55,813","$172,813","41.0","4,401","529","3,313","266","48","89.5%","43.3%","27.8%","48.8%","51.2%"
"13235","","","","","","","","","","","","","","","","","",""
"13261","","","","","","","","","","","","","","","","","",""
